date,ibov,mcs,spx
06jun1995,3933.27,5426.78,535.55
07jun1995,3808.2,5406.13,533.13
08jun1995,3818.5,5415.93,532.35
09jun1995,3670.66,5415.93,527.9400000000001
10jun1995,,,
11jun1995,,,
12jun1995,3704.79,5415.28,530.88
13jun1995,3789.27,5404.88,536.05
14jun1995,3665.04,5402.36,536.47
15jun1995,,5388.4,537.12
16jun1995,3717.85,5390.58,539.83
17jun1995,,,
18jun1995,,,
19jun1995,3696.13,5382.89,545.22
20jun1995,3576.94,5376.61,544.98
21jun1995,3631.62,5371.77,543.98
22jun1995,3598.82,5370.51,551.0700000000001
23jun1995,3585.65,5361.02,549.71
24jun1995,,,
25jun1995,,,
26jun1995,3537.04,5350.52,544.13
27jun1995,3661.33,5333.54,542.43
28jun1995,3715.44,5355.47,544.73
29jun1995,3678.04,5354.52,543.87
30jun1995,3603.39,5373.35,544.75
01jul1995,,,
02jul1995,,,
03jul1995,3594.37,5349.12,547.09
04jul1995,3633.6,5344.28,
05jul1995,3700.3,5314.25,547.26
06jul1995,3820.97,5293.19,553.99
07jul1995,3961.74,5303.67,556.37
08jul1995,,,
09jul1995,,,
10jul1995,3958.4,5268,557.1900000000001
11jul1995,3889.21,5268.51,554.78
12jul1995,4026.47,5235.77,560.89
13jul1995,4007.5,5223.48,561
14jul1995,4026.81,5236.29,559.89
15jul1995,,,
16jul1995,,,
17jul1995,4016.13,5259.05,562.72
18jul1995,3919.18,5257.26,558.46
19jul1995,3829.44,5240.45,550.98
20jul1995,3939.03,5241.53,553.54
21jul1995,3862.38,5227.08,553.62
22jul1995,,,
23jul1995,,,
24jul1995,3899.7,5200.93,556.63
25jul1995,3917.94,5199.11,561.1
26jul1995,3878.81,5179.08,561.61
27jul1995,3912.86,5179.69,565.22
28jul1995,3888.36,5188.09,562.93
29jul1995,,,
30jul1995,,,
31jul1995,3877.48,5195.22,562.06
01aug1995,3870.8,5198.01,559.64
02aug1995,3918.47,5196.13,558.8
03aug1995,4025.53,5185.04,558.75
04aug1995,4200.35,5179.62,558.9400000000001
05aug1995,,,
06aug1995,,,
07aug1995,4393.87,5182.26,560.03
08aug1995,4310.76,5172.04,560.39
09aug1995,4279.79,5171.85,559.71
10aug1995,4337.01,,557.4500000000001
11aug1995,4193,,555.11
12aug1995,,,
13aug1995,,,
14aug1995,4081.23,,559.74
15aug1995,4156.37,5168.09,558.5700000000001
16aug1995,4223.31,5168.09,559.97
17aug1995,4229.16,5168.09,559.04
18aug1995,4235.4,5186.07,559.21
19aug1995,,,
20aug1995,,,
21aug1995,4298.99,5190.11,558.11
22aug1995,4305.58,5190.11,559.52
23aug1995,4471.18,5184.37,557.14
24aug1995,4445.01,5181.86,557.46
25aug1995,4459.22,5176.77,560.1
26aug1995,,,
27aug1995,,,
28aug1995,4514.96,5161.95,559.05
29aug1995,4367.8,5160.81,560
30aug1995,4236.07,5164.24,560.92
31aug1995,4310.51,5154.49,561.88
01sep1995,4449.99,5127.57,563.84
02sep1995,,,
03sep1995,,,
04sep1995,4520.19,5126.41,
05sep1995,4563.12,5131.5,569.17
06sep1995,4550.04,5138.72,570.17
07sep1995,,5146.97,570.29
08sep1995,4531.62,5158.39,572.68
09sep1995,,,
10sep1995,,,
11sep1995,4638.62,5165.98,573.91
12sep1995,4703.66,5180.37,576.51
13sep1995,4737.36,5223.82,578.77
14sep1995,4810.53,5223.82,583.61
15sep1995,4801.81,5230.36,583.35
16sep1995,,,
17sep1995,,,
18sep1995,4851.38,5230.36,582.77
19sep1995,4861.23,5230.36,584.2000000000001
20sep1995,4776.63,5212.67,586.77
21sep1995,4693.6,5222.68,583
22sep1995,4673.78,5218.78,581.73
23sep1995,,,
24sep1995,,,
25sep1995,4579.1,5218.78,581.81
26sep1995,4543.95,5224.7,581.41
27sep1995,4548.04,5170.95,581.04
28sep1995,4566.67,5174.81,585.87
29sep1995,4670.14,5182.08,584.41
30sep1995,,,
01oct1995,,,
02oct1995,4538,5179.7,581.72
03oct1995,4504.22,5189.25,582.34
04oct1995,4426.34,5196.33,581.47
05oct1995,4498.68,5220.51,582.63
06oct1995,4514.63,5221.39,582.49
07oct1995,,,
08oct1995,,,
09oct1995,4456.68,5220.32,578.37
10oct1995,4409.54,5220.32,577.52
11oct1995,4500.7,5221.06,579.46
12oct1995,,5195.53,583.1
13oct1995,4513.62,5213.57,584.5
14oct1995,,,
15oct1995,,,
16oct1995,4549.64,5194.22,583.03
17oct1995,4621,5188.53,586.78
18oct1995,4601.75,5195.82,587.4400000000001
19oct1995,4585.01,5195.26,590.65
20oct1995,4668.81,5219.82,587.46
21oct1995,,,
22oct1995,,,
23oct1995,4563.95,5219.82,585.06
24oct1995,4528.18,5228.95,586.54
25oct1995,4343.78,5234.49,582.47
26oct1995,4060.27,5253.07,576.72
27oct1995,4140.61,5277.45,579.7000000000001
28oct1995,,,
29oct1995,,,
30oct1995,4069.07,5286.45,583.25
31oct1995,4128.39,5288.64,581.5
01nov1995,4099.83,5287.78,584.22
02nov1995,,5279.5,589.72
03nov1995,4158.78,5293.76,590.5700000000001
04nov1995,,,
05nov1995,,,
06nov1995,4094.31,,588.46
07nov1995,4111.21,5292.96,586.3200000000001
08nov1995,4117.07,5301.47,591.71
09nov1995,4112.92,5305.42,593.26
10nov1995,3957.95,5317.94,592.72
11nov1995,,,
12nov1995,,,
13nov1995,3787.04,5312.65,592.3
14nov1995,3797.35,5307.09,589.29
15nov1995,,5301.19,593.96
16nov1995,4003.61,5320.58,597.34
17nov1995,4063.58,5307.88,600.0700000000001
18nov1995,,,
19nov1995,,,
20nov1995,3966.07,5302.09,596.85
21nov1995,4059.55,5302.37,600.24
22nov1995,4105.77,5294.56,598.4
23nov1995,4191.04,5293.21,
24nov1995,4081.65,5284,599.97
25nov1995,,,
26nov1995,,,
27nov1995,4105.16,5288.25,601.3200000000001
28nov1995,4049.81,5304.84,606.4500000000001
29nov1995,4182.47,5312.44,607.64
30nov1995,4378.57,5339.58,605.37
01dec1995,4345.99,5347.61,606.98
02dec1995,,,
03dec1995,,,
04dec1995,4334.16,5366.03,613.68
05dec1995,4281.1,5395.39,617.68
06dec1995,4303.61,5390.85,620.18
07dec1995,4318.79,5390.43,616.17
08dec1995,4299.25,5412.31,617.48
09dec1995,,,
10dec1995,,,
11dec1995,4306.25,5398.88,619.52
12dec1995,4365.61,5441.02,618.78
13dec1995,4369.8,5432.76,621.6900000000001
14dec1995,4183.32,5421.09,616.92
15dec1995,4158.67,5411.76,616.34
16dec1995,,,
17dec1995,,,
18dec1995,4056.01,5403.52,606.81
19dec1995,4034.99,5403.28,611.93
20dec1995,4205.71,5424.33,605.9400000000001
21dec1995,4252.03,5425.04,610.49
22dec1995,4343.22,5424.45,611.96
23dec1995,,,
24dec1995,,,
25dec1995,,5424.59,
26dec1995,4364.04,5411,614.3
27dec1995,4346.26,5387.48,614.53
28dec1995,4299,5404.15,614.12
29dec1995,,5418.89,615.93
30dec1995,,,
31dec1995,,,
01jan1996,,,
02jan1996,4390.05,5416.89,620.73
03jan1996,4681.48,5418.57,621.3200000000001
04jan1996,4684.06,5406.23,617.7000000000001
05jan1996,4694.34,5393.83,616.71
06jan1996,,,
07jan1996,,,
08jan1996,4741.01,5396.89,618.46
09jan1996,4653.88,5406.41,609.4500000000001
10jan1996,4622.19,5401.59,598.48
11jan1996,4748.68,,602.6900000000001
12jan1996,4846.59,5397.96,601.81
13jan1996,,,
14jan1996,,,
15jan1996,4895.44,5406.52,599.8200000000001
16jan1996,4846.78,5404.61,608.4400000000001
17jan1996,4836.22,5405.39,606.37
18jan1996,4833.85,5412.38,608.24
19jan1996,4909.03,5406.97,611.83
20jan1996,,,
21jan1996,,,
22jan1996,4893.81,5406.13,613.4
23jan1996,4985.2,5415.6,612.79
24jan1996,4945.25,5409.29,619.96
25jan1996,,5403.41,617.03
26jan1996,4907.71,5396.82,621.62
27jan1996,,,
28jan1996,,,
29jan1996,4934.81,5419.68,624.22
30jan1996,5133.5,5432.77,630.15
31jan1996,5151.54,5441.48,636.02
01feb1996,5269.38,5462.6,638.46
02feb1996,5410.91,5474.99,635.84
03feb1996,,,
04feb1996,,,
05feb1996,5332.95,5479.22,641.43
06feb1996,5354.09,5478.39,646.33
07feb1996,5283.01,5476.71,649.93
08feb1996,5322.63,5463.15,656.0700000000001
09feb1996,5305.41,5460.73,656.37
10feb1996,,,
11feb1996,,,
12feb1996,5338.96,5461.77,661.4500000000001
13feb1996,5385.56,5473.02,660.51
14feb1996,5330.81,5477.42,655.58
15feb1996,5273.71,5479.9,651.3200000000001
